대여소 그룹,팀명,대여소 명,대여 건수
서초구,이수2팀,2506. LG유플러스 (방배사옥),43
구로구,천왕1팀,1969. 궁동생태공원,43
강남구,학여울2팀,3610. 윗반마을 입구,43
동작구,이수2팀,2079.중앙대학교 중앙광장,43
서초구,이수1팀,4323. 내곡도서관,44
은평구,상암3팀,937. 상림마을 롯데캐슬2단지 옆,44
서초구,이수1팀,2257. 청계산 입구 삼거리,44
강남구,이수1팀,2393. 구룡사 앞 교차로 (보도육교),45
강서구,개화1팀,3754. 신방화역 8번출구,45
서초구,이수1팀,2275. 염곡치안센터 건너편,45
구로구,천왕1팀,2813.항동지구 3단지 302동 앞,46
은평구,상암3팀,938. 금암 문화공원,48
강남구,학여울2팀,2425.세곡동 사거리(대왕초등학교 정류장),48
서초구,이수1팀,4309. 서초케이타운앞,49
강남구,학여울2팀,3624. 대모산입구역 7번 출구 앞,50
강남구,학여울2팀,2383. 보금자리정원,51
강남구,학여울1팀,2395. 개포1단지아파트 입구 (보도육교),51
양천구,개화4팀,4523. 구립양천어르신요양센터,51
송파구,천호2팀,4853. 송파 안전체험교육관,51
마포구,상암1팀,3003.래미안신공덕3차아파트,52
성동구,중랑2팀,523. 옥수동성당 옆,52
노원구,도봉2팀,1679. 삼육대 도서관,53
종로구,세종로1팀,4709. 천지인 오피스텔 앞,53
노원구,도봉2팀,1675. 월계문화체육센터,54
강동구,천호1팀,3672. 고덕중학교 후문,55
성동구,중랑2팀,564. 금호역 3번출구,55
동작구,이수2팀,2068. 총신대 앞(육교),57
용산구,세종로3팀,859.남산공원 야외식물원 앞,57
양천구,개화2팀,4519. 양원보도육교,57
종로구,세종로1팀,3428.서울미술관,57
서초구,이수3팀,4324. 세화고등학교,58
구로구,천왕1팀,2809.항동지구 11단지 1103동 앞,59
구로구,천왕1팀,2806.항동지구 4단지 입구,59
강동구,천호1팀,3652. 한영외국어고등학교,59
중랑구,중랑3팀,1424. 양원역 2번출구,60
송파구,천호2팀,4879. 마천청소년센터,60
관악구,이수2팀,3802. 관악구민체육센터,60
구로구,천왕1팀,2805.구로자원순환센터,60
은평구,상암3팀,4681.박석고개(은평소방서) 앞,61
서대문구,상암1팀,4266.국민연금공단충정로사옥,63
구로구,천왕1팀,3911. 항동하버리안2단지아파트 후문,63
서초구,이수3팀,2526.반포경남쇼핑 앞,64
강북구,도봉4팀,1550.삼각산아이원아파트(105동 옆),64
구로구,천왕1팀,2808.항동지구 2단지 202동 앞,64
영등포구,영남3팀,297.국회3문,65
구로구,천왕1팀,1951. 천왕이펜하우스 4단지 후문,66
송파구,천호2팀,4896. 위례포레샤인15단지,66
강서구,개화1팀,1200. 개화광역환승센터,66
서초구,이수3팀,2532.국립국악원 앞,67
동작구,이수2팀,2061. 한강 현대아파트 건너편,68
성동구,중랑2팀,556. 달맞이공원,68
송파구,학여울2팀,1242. 문정 법조단지6,68
용산구,세종로3팀,854.HID 유족동지회 앞,69
성북구,훈련원2팀,1392.돈암삼성풍림아파트,70
중랑구,중랑3팀,4834. 용마복지센터 앞,72
강남구,학여울1팀,2354. 청담역 2번출구,72
강동구,천호1팀,1082.중앙보훈병원역3번출구,72
은평구,상암3팀,968. 은평뉴타운 상림마을 13단지,72
성동구,중랑2팀,3532. 왕십리KCC스위첸아파트,73
강남구,학여울1팀,3620. 청담역 11번 출구,73
관악구,영남2팀,2141. 미림여고입구 교차로,73
중랑구,중랑3팀,4837. 양원지구 힐데스하임 앞,73
용산구,세종로3팀,4612. 한남 준 J.FSS 앞,73
송파구,학여울2팀,2659.서울친환경유통센터,73
강남구,학여울2팀,2403. 공무원연금매점 교차로 (개포주공9단지 입구),74
서초구,이수3팀,2527.반포중학교 앞(세화여고 맞은편),74
강북구,도봉4팀,1572. 우이동 먹거리마을,74
강동구,천호1팀,1039. 고덕초등학교,75
도봉구,도봉3팀,1730. 도봉산역 교차로 앞,75
금천구,천왕3팀,1861.IBK기업은행 석수역 지점 앞,76
마포구,상암1팀,4247. 서울서부지방법원등기국앞,76
성동구,중랑2팀,569. 응봉현대아파트 정류소,76
구로구,천왕1팀,3910. 목양전원교회 앞 로터리,77
강서구,개화1팀,3781. 강서아동복지센터,77
구로구,천왕1팀,2810.항동지구 3단지 311동 앞,77
송파구,천호2팀,4888. 둔촌오륜역 2번출구,77
용산구,세종로3팀,855.이촌역5번출구 앞,77
용산구,세종로 4팀,827. 국군복지단,78
용산구,세종로3팀,4608. 국립중앙박물관 정문 앞,78
서초구,이수1팀,2256.양재동 꽃시장 입구,78
영등포구,영남3팀,4585. 국회6문,79
영등포구,영남3팀,4582. 국회도서관,79
종로구,세종로1팀,3430.구기치안센터 앞,79
금천구,천왕3팀,1855. 성지아파트 옆 도로변,79
강남구,학여울1팀,2386. 크린랩 본사,79
성북구,훈련원2팀,1376. 한국과학기술연구원 중문,80
중랑구,중랑3팀,1445. 용마지구대,80
중구,세종로 4팀,4782. 서소문역사공원,81
광진구,중랑1팀,3563.구의7단지현대아파트,81
서초구,이수2팀,2225.백석예술대학교 제3캠퍼스 앞,81
용산구,세종로3팀,803. 한남초교 앞 보도육교,81
종로구,훈련원1팀,3401.창신두산아파트,82
중랑구,중랑3팀,1467.sk신내 주유소앞(용마산로),82
은평구,상암3팀,924. 메뚜기다리,82
강남구,학여울1팀,2334. 삼호아파트 2동 ( 간선도로),83
종로구,세종로2팀,465. 삼청공원 앞,84
종로구,세종로1팀,3429.HW컨벤션센터 앞,84
동작구,이수2팀,2064. 흑석한강푸르지오 106동앞,84
도봉구,도봉3팀,4083.도봉아이나라도서관 앞,84
강동구,천호1팀,1066.생태공원앞 교차로(조명탑),85
구로구,천왕1팀,3902. 항동지구5단지 501동 앞,85
종로구,훈련원1팀,3404.서울특별시 중부교육지원청,85
성북구,훈련원2팀,1366. 일신초등학교 옆,86
성동구,중랑2팀,3561.행당동 삼부APT후문,86
강남구,학여울1팀,3647. 구룡역 1번 출구,86
마포구,상암1팀,4239. 성산2동 주민센터,86
금천구,천왕3팀,3974. 안천중학교,86
중구,세종로1팀,391. 시립미술관,86
강동구,천호1팀,1052. 리싸이클시티,87
중랑구,중랑3팀,1427. 용마산역 1번출구,87
용산구,세종로3팀,4611. 국제루터교회 앞,87
중구,세종로 4팀,4760. 서울역 7번출구,88
관악구,이수2팀,3810. 신봉천주유소 B,88
서초구,이수3팀,2517.서초3교(효령로69길 방면),88
동작구,이수2팀,2093.상도SH빌아파트 입구,89
서초구,이수3팀,4305. 서일스포츠센터,89
서초구,이수1팀,4319. 삼성전자R&D어린이집 뒤,89
동작구,영남2팀,2096.서울특별시 동작관악교육지원청,89
용산구,세종로3팀,865.하얏트호텔 앞,90
중구,세종로 4팀,384. 종로학원본원,90
금천구,천왕3팀,3972. 산기슭공원 앞,91
송파구,천호2팀,4883. 위례포레샤인18단지 1812동,91
용산구,세종로 4팀,4617. 동원베네스트 건너편,91
동작구,영남2팀,4158. 노량진근린공원,91
동작구,이수2팀,2078.흑석 아크로리버하임(103동),92
서초구,이수1팀,2249. 우솔초등학교 맞은편,92
관악구,이수2팀,2165. JK장평타워,92
강동구,천호1팀,3539. 서원마을,93
중랑구,중랑3팀,1410. 면목 대원칸타빌아파트,94
서초구,이수1팀,2258.구룡사 삼거리,94
동작구,이수2팀,2092.흑석한강푸르지오(110동),94
용산구,세종로3팀,812. 용산전쟁기념관,94
구로구,천왕1팀,2814.항동지구 10단지 1001동 앞,94
노원구,도봉2팀,4021. 중계본동 입구,95
은평구,상암3팀,966. 서울혁신파크1,95
마포구,상암1팀,4240. 아현문화건강센터,96
서초구,이수3팀,2282. 방배래미안아트힐 101동앞,96
노원구,도봉1팀,4043. 상계주공13단지 1301동,96
강동구,천호1팀,1062. 고덕숲 아이파크 2,96
용산구,세종로 4팀,4604. 원효로다목적체육관 앞,96
동작구,이수2팀,4153. 흑석동효사정앞,97
금천구,천왕3팀,1858. 500번·507번 버스 종점 앞,97
강동구,천호1팀,1007.암사동 선사유적지,97
관악구,이수2팀,2130. 영어마을 관악캠프,97
영등포구,영남3팀,4584. 국회2문,97
마포구,상암1팀,491.월드컵파크 4단지,98
동작구,이수2팀,2040. 비계 버스정류소,98
용산구,세종로3팀,4613. 서울갤러리아 앞,99
서대문구,상암1팀,3117.이화여대 인문관 인근,99
중구,세종로 4팀,443.호암아트홀,100
강동구,천호1팀,1089.고덕 래미안힐스테이트(201동),100
송파구,천호2팀,1283. 오금공원 사거리,100
성북구,훈련원2팀,1377. 한국과학기술연구원 북문,101
중구,훈련원1팀,381. 장충체육관,101
도봉구,도봉3팀,1703. 도봉산광역환승센터앞,101
강남구,학여울2팀,2401. 밀알학교 입구 (삼성서울병원 입구),101
중구,훈련원1팀,4777. 약수동 주민센터,101
광진구,중랑1팀,3503. 광진유진스웰,103
서초구,이수3팀,2235.KT 서초지사 앞,103
은평구,상암3팀,969. 은평 지웰테라스,103
강북구,도봉4팀,3714. 송천센트레빌,103
동대문구,훈련원4팀,681.서울특별시 동부교육지원청(육교),103
중랑구,중랑3팀,4836. 양원역 1번 출구,103
동작구,이수2팀,2038. 동작역 7번출구,104
양천구,개화2팀,741. 화곡로 입구 교차로,104
강남구,학여울1팀,2392. 구룡산 입구 (구룡산 서울둘레길 입구),105
중랑구,중랑3팀,1406. 망우청소년수련관,105
강남구,학여울1팀,3622. 은마아파트입구 사거리(1),105
용산구,세종로 4팀,823. 효창동주민센터 앞,105
강동구,천호1팀,3692. 둔촌오륜역 1번 출구,105
강남구,학여울2팀,2376. 수서역 6번출구 앞,105
영등포구,영남3팀,200. 국회의원회관,106
마포구,상암1팀,422. 문화비축기지,106
은평구,상암3팀,4668. 기자촌사거리,107
성북구,훈련원2팀,4415. 미아초교버스승강장,107
강남구,이수1팀,3634. 국악고교 앞 교차로,108
서대문구,상암2팀,4262. 서대문자연사박물관 입구,108
서초구,이수3팀,2519.서초2교(사임당로 방면),108
구로구,천왕1팀,2804.항동지구 6단지 602동 앞,109
금천구,천왕3팀,1866.서울안천초등학교 옆,109
서초구,이수3팀,2533.한가람미술관 앞,110
강남구,학여울2팀,3611. 방죽마을 입구,110
금천구,천왕3팀,1820. 신한은행 시흥대로금융센터지점,111
성북구,훈련원2팀,1352. e 편한세상 보문아파트 내,111
중랑구,중랑3팀,1422. 신내우디안아파트 1단지,111
강남구,학여울1팀,3615. 서울 논현동우체국 앞,112
중랑구,중랑3팀,1463.중랑구민회관,112
구로구,천왕1팀,3915. 동선아파트 앞,112
용산구,세종로3팀,4607. 국립중앙박물관 -용산가족공원 앞,113
종로구,훈련원1팀,3418.창신역2번 출구,113
구로구,천왕1팀,2818.천왕이펜하우스3단지 앞,113
강남구,학여울2팀,3612. 은곡마을,113
송파구,천호2팀,4881. 거여동사거리 송파둘레길 입구,114
은평구,상암3팀,974.연신초등학교옆 마을마당,114
마포구,상암1팀,410. 상암중학교 옆,114
성동구,중랑2팀,524. 래미안금호하이리버 아파트 102동 옆,115
중랑구,중랑3팀,1453. 중랑캠핑숲,116
서초구,이수1팀,2516.본마을 노인복지센터 앞,118
송파구,학여울2팀,4488. 문현중.고등학교 사이,118
금천구,천왕2팀,3975.현대시티아울렛 가산,118
성동구,중랑2팀,3531. 논골사거리(금호도서관 입구),118
중랑구,중랑3팀,4827. 신내SK V1센터 앞,119
금천구,천왕3팀,1864.산호시티빌 옆,119
강남구,학여울1팀,2307. 압구정 한양 3차 아파트,119
광진구,중랑1팀,3524. 세종대학교,120
용산구,세종로3팀,4609. 파크타워 104동 앞,120
중구,세종로 4팀,484.도동삼거리,121
용산구,세종로3팀,4622. 한강중학교 앞 버스정류장,121
강동구,천호1팀,1038. 강일 다솜 어린이 공원,121
양천구,개화4팀,710. 금옥여고보도육교,122
용산구,세종로3팀,869.노들섬 동측 앞,122
송파구,천호2팀,4473. 마천금호어울림 1차 102동앞,122
구로구,천왕1팀,2807.항동지구 1단지 105동 앞,123
서초구,이수3팀,2510. JW타워,123
강남구,학여울1팀,3616. 역삼중학교 앞(체육관 방향),123
송파구,천호2팀,4862. 성내교 남단,123
송파구,천호2팀,4479. 문정중학교,123
강남구,학여울2팀,2344. 리엔파크 2단지 앞,123
강남구,학여울2팀,3637. 세곡데이케어센터,123
영등포구,영남3팀,299.여의도 순복음교회,123
강동구,천호1팀,1054. 말우물 어린이 공원,123
중랑구,중랑3팀,4802. 새우개마을,124
은평구,상암3팀,992.북한산입구 정류장,124
서대문구,상암2팀,3111.무악재역 4번 출구,124
구로구,천왕2팀,1979. 구로1동우체국 앞,125
동대문구,훈련원4팀,616. 서울시립대 앞,125
종로구,세종로1팀,486. 평창동주민센터 앞,125
종로구,세종로1팀,449. 일성아파트,125
성북구,훈련원2팀,1342. 성북쉼터 앞,126
강남구,학여울1팀,2350. 래미안그레이튼102동앞,126
송파구,학여울2팀,1250.문정2동 주민센터,126
강동구,천호1팀,1006. 롯데캐슬 115동앞,126
중구,세종로 4팀,4772. 중앙일보,127
용산구,세종로 4팀,4625. 용산공원갤러리앞,127
금천구,천왕3팀,1842. 한울중학교,127
서초구,이수3팀,2535.신반포역 3번출구 뒤,127
구로구,천왕1팀,1943. 온수역 북측,128
성동구,중랑2팀,3555.양지사거리(센트라스APT 115동앞),128
구로구,천왕1팀,2817.천왕이펜하우스5단지 앞,128
동대문구,훈련원4팀,679.전농SK아파트 앞,129
노원구,도봉2팀,4045. 은하수 공원,129
금천구,천왕3팀,1847. 독산주공 14단지 버스정류소,130
종로구,세종로1팀,3431.로제우스 레포츠센터,130
도봉구,도봉3팀,1728. 서울북부지방법원,130
종로구,세종로1팀,3403.서울특별시 교육청,131
성동구,중랑2팀,533. 금남시장 교차로,131
성북구,훈련원2팀,1379.길음뉴타운푸르지오아파트 3단지,131
강남구,학여울2팀,3643. 더시그넘하우스 앞,132
강남구,학여울1팀,2314. 청담나들목입구,132
용산구,세종로3팀,4610. 한남나인원 105동 앞,132
도봉구,도봉3팀,1723. 방학동학마을도서관,132
서초구,이수1팀,2203. 청계산입구역 2번출구,132
중랑구,중랑3팀,4839. 혜원사거리 열정분식소 앞,132
서초구,이수3팀,4315. 이투스교육 앞,133
강동구,천호1팀,1071.명일근린공원공동체텃밭,133
송파구,학여울2팀,4874. 탄천1교 하부보도,133
강남구,학여울1팀,2318. 삼성중앙역4번출구(문화센터더 리빌),133
은평구,상암3팀,973.제각말푸르지오 5-1단지 아파트,134
강남구,학여울2팀,3602. 한국지역난방공사강남지사,134
마포구,상암1팀,489.구룡근린공원,135
송파구,학여울2팀,1241. 문정 법조단지5,135
중랑구,중랑3팀,4829. 신내동 한살림 중랑지구 북축,135
도봉구,도봉3팀,1713. 쌍문동 이안아파트 앞,135
강남구,학여울1팀,2356. 강남구청,136
동작구,영남2팀,4162. 노량진1동 청소년독서실,136
중랑구,중랑3팀,4821. 동원초등학교 정문 앞,136
강남구,학여울1팀,3621. 휘문고교 사거리,136
동작구,이수2팀,2024. 상도역 1번출구,137
서초구,이수3팀,2277. 길마중4교 하부,138
은평구,상암2팀,4678. 백련산로 녹번센트레빌,138
강남구,학여울1팀,2417.선정릉 디캠프(D.CAMP)앞,138
서초구,이수1팀,2270. 서초포레스타 7단지,139
중구,세종로 4팀,4766. 서소문성지역사박물관,139
용산구,세종로3팀,"4605. 노들섬 다목적홀(동쪽) 숲, 앞",139
강남구,학여울1팀,3649. 구룡역 5번 출구,139
용산구,세종로3팀,822. 이촌1동 마을공원,139
도봉구,도봉3팀,1756.서울북부광역등기국,140
강남구,학여울1팀,3638. 신청담나들목,140
서초구,이수2팀,2284. CJ오쇼핑앞,140
마포구,상암1팀,3006. 상암월드컵파크5단지(상암중학교),140
서초구,이수3팀,2269. 주홍교 하부,140
관악구,영남2팀,2184. 구암초등학교 버스정류장,140
강동구,천호1팀,3688. 상일동산(동아아파트앞 교차로),140
종로구,세종로1팀,451. 청와대앞길,142
동대문구,훈련원3팀,600. 휘경2동 주민센터,142
서초구,이수3팀,2545.국립중앙도서관(국제회의장옆),142
은평구,상암3팀,928. 은평역사한옥박물관,142
영등포구,영남3팀,4581. 국회소통관,142
관악구,이수2팀,3806. 낙성대 교수아파트,143
금천구,천왕2팀,1850. 코오롱테크노밸리,143
은평구,상암3팀,977.신도중학교앞,143
중구,훈련원1팀,479.동대입구역 3번 출구,143
노원구,도봉1팀,1652. 파르코 앞,143
강서구,개화1팀,2716.롯데 R&D 센터,143
송파구,학여울2팀,4863. 잠실나들목5,143
강동구,천호1팀,3690. 강일역 4번출구,143
서대문구,상암2팀,163. 명지전문대학교 정문 앞,144
서초구,이수3팀,2548.반포1동 자율방범초소 옆,144
강남구,이수3팀,2406. 논현동 광명빌딩 앞,144
강남구,학여울1팀,2329. 르네상스호텔사거리 역삼지하보도 2번출구,144
강서구,개화1팀,1188. 롯데중앙연구소,145
동작구,이수2팀,2083.흑석롯데캐슬에듀포레(107동),145
강동구,천호1팀,1037. 강일리버파크 6단지,146
중랑구,중랑3팀,4811. 한양수자인아파트 앞,146
영등포구,영남3팀,295.영등포공원 분수대 앞,146
성동구,중랑2팀,3551.성동도로사업소,146
중구,세종로2팀,466.롯데호텔,146
강동구,천호1팀,1053. 동명근린공원 진입로 (아리수로),147
관악구,이수2팀,3804. 낙성대공원,147
마포구,상암1팀,4234. 에스테반,147
은평구,상암3팀,945. 기자촌 사거리,147
성북구,훈련원2팀,1314. 정릉꿈에그린1단지 201동 앞,148
강남구,학여울1팀,3646. 선정릉역 4번 출구,148
강북구,도봉4팀,1541. 삼양역,148
동작구,이수2팀,2037. 동작역 5번출구 동작주차공원,148
은평구,상암3팀,4667. 폭포동입구 교차로,148
강남구,학여울2팀,2351. 청소년수련관(수영장)앞,149
서초구,이수2팀,2283. 그룹한빌딩옆,149
송파구,천호2팀,1291. 서울체육고등학교 앞,150
성동구,중랑2팀,3556.신금호파크자이APT앞,150
서대문구,상암2팀,161. 무악재역1번 출구,150
송파구,학여울2팀,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,150
도봉구,도봉3팀,1731. 도봉고등학교 맞은편,151
중랑구,중랑3팀,1466.두산대림아파트 삼거리,152
강남구,학여울2팀,3641. 대청역,152
강동구,천호1팀,1034. 고덕동 래미안 힐스테이트,152
동작구,이수2팀,2094.숭실대학교(중문),152
강남구,학여울1팀,2310. 청담동 맥도날드 옆(위치),153
중구,세종로 4팀,4781. 브라운스위트레지던스,153
송파구,천호2팀,1289. 풍납토성 서성벽터B,153
광진구,중랑1팀,3543. 세종대학교(학술정보원),154
강동구,천호1팀,3661. 명일동신동아아파트 앞,154
동작구,이수2팀,2027. 중앙대학교 정문 1,154
강남구,학여울1팀,2416.한티역 6번 출구,154
구로구,천왕2팀,2825.초롱타운 앞,154
금천구,천왕3팀,3973. 독산2동주민센터 앞,154
노원구,도봉2팀,4040. 공릉로 26길,155
용산구,세종로3팀,847. 국방부민원실옆,155
강남구,학여울1팀,2352. 서울본부세관(건설회관 앞),155
강동구,천호1팀,3659. 명일초등학교 옆,155
광진구,중랑1팀,575. 대원중고교 입구(대하빌딩),155
강동구,천호1팀,1032. 선사고등학교,155
강남구,학여울1팀,2347. 두산건설 본사,155
금천구,천왕3팀,1826. 한신코아 앞,156
중랑구,중랑3팀,1477.면목삼익아파트 앞,156
성북구,훈련원2팀,1315. 고려사대부속중고 정문,156
송파구,학여울2팀,2650.위례22단지 2208동 다리앞,156
강서구,개화2팀,3766. 강서문화센터,156
광진구,중랑1팀,3564.나루마당,157
강북구,도봉4팀,1573.현대성우아파트 옆,157
서초구,이수3팀,2547.포드서초서비스센터앞,157
강동구,천호1팀,3674. 강동리버스트7단지,157
금천구,천왕3팀,3967. 혜명양로원 담장 옆(2),157
성북구,훈련원2팀,1393.돈암육교 하단,158
마포구,상암1팀,494.신수동주민센터,159
강남구,학여울1팀,3636. 삼성중앙역·플래티넘아파트 정류소,159
중구,세종로2팀,467.한국은행,159
노원구,도봉1팀,1678. 성서대학교 밀알관,159
광진구,중랑1팀,591. 건국대학교 (행정관),159
중구,세종로2팀,4761. 탐앤탐스 을지로3가점,160
서초구,이수3팀,2210. 반포1동 주민센터 앞,160
용산구,세종로3팀,4632. 용산 푸르지오 파크타운 1단지 앞,160
서초구,이수3팀,4327. 몽마르뜨공원입구,161
중랑구,중랑3팀,1421. 신내역 4번출구,161
은평구,상암3팀,4672. 준빌딩 앞,161
금천구,천왕3팀,1857. 주공14단지,162
동작구,이수2팀,2088.상도중앙하이츠빌 입구,162
강북구,도봉4팀,3703. 신성교회 앞,162
마포구,상암1팀,432. 마포중앙도서관,162
송파구,학여울2팀,4869. 잠실나들목6,162
강남구,학여울1팀,2370. 한티역 3번출구,162
마포구,상암1팀,3005.마포구청 청사내,162
영등포구,영남3팀,4583. 의정관,163
동작구,이수2팀,2026. 흑석역 4번출구,163
종로구,세종로1팀,3427.인왕산 아이파크 정문,163
도봉구,도봉3팀,1717. 시립창동운동장 입구,163
송파구,천호2팀,4461. 한양3차아파트 3동 앞,163
강남구,학여울1팀,2305. MCM 본사 직영점 앞,163
강북구,도봉4팀,1513. 강북구청 뒷편,163
송파구,천호2팀,4889. 마천역 1번 출구 인근②,164
송파구,학여울2팀,4885. 가든파이브 리빙관,164
금천구,천왕3팀,1816. 금천폭포공원 앞,164
은평구,상암3팀,995.은평다목적체육관,165
금천구,천왕3팀,1836. 금천구립 독산도서관,165
성동구,중랑2팀,522. 금호역 1번출구 앞,165
서초구,이수1팀,4329. SC제일은행 양재동지점 앞,165
강남구,학여울1팀,2427.개포고등학교 정문앞,165
송파구,천호2팀,4882. 위례포레샤인18단지 1802동,165
강남구,학여울1팀,2390. 구룡마을 입구 (래미안블레스티지 아파트),165
서초구,이수3팀,4313. 반포종합운동장,166
강남구,학여울1팀,2309. 청담역(우리들병원 앞),166
서대문구,상암2팀,3126.남가좌동 제2공영주차장,166
강북구,도봉4팀,1558.강북문화정보도서관,167
강서구,개화2팀,3765. 문소빌딩,167
강남구,학여울1팀,2382. 역삼동 sk뷰 501동앞,167
성북구,훈련원2팀,1365. 선잠단지 앞,167
마포구,상암1팀,4245. 그랑자이 아파트,168
용산구,세종로3팀,858.녹사평역3번 출구,168
중구,세종로2팀,4762. 국제빌딩,168
송파구,천호2팀,4857. 올림픽공원 장미광장,169
용산구,세종로3팀,808. 서빙고동 금호맨션 앞,170
도봉구,도봉3팀,4058. 다락원체육공원 전망대 입구,170
마포구,상암1팀,4251. 공덕역 경의선숲길 커뮤니티센터,170
금천구,천왕3팀,1823. 상신정비공업 앞,170
구로구,천왕1팀,2812.항동프라자,170
도봉구,도봉3팀,4073.방아골종합사회복지관,171
서초구,이수3팀,4304. 서울고앞,171
서초구,이수2팀,2226. 신동아럭스빌아파트 앞,172
금천구,천왕3팀,3977. 말미사거리,172
강서구,개화3팀,3761. 나이아가라관광호텔,172
마포구,상암1팀,4248. 신촌 교보빌딩,172
송파구,천호2팀,4474. 가락현대 1차 11동 앞,173
금천구,천왕3팀,1852. 혜명양로원 담장 옆,173
중구,세종로2팀,469.회현역 1번출구,173
강서구,개화1팀,1105. 방화근린공원,173
양천구,영남1팀,4536. 양천해누리체육공원,173
용산구,세종로 4팀,851.효창 푸르지오 앞,174
도봉구,도봉3팀,1714. 도봉문화정보도서관 삼거리,174
중구,세종로 4팀,435. SK 남산빌딩,175
동작구,이수2팀,2041. 사당중학교 버스정류소,175
강남구,학여울1팀,2336. 강남세브란스교차로 래미안그레이튼 104동 앞,175
송파구,천호2팀,2643.풍납중학교 측면,175
중랑구,중랑3팀,4807. 라코지스테이 앞,176
영등포구,영남3팀,4573. 두산위브아파트,176
중구,세종로2팀,468.웨스틴 조선호텔,177
은평구,상암3팀,967. 서울혁신파크2,177
용산구,세종로3팀,863.이촌역2번 출구,177
강남구,학여울1팀,2388. 강남구 도시관리공단,177
노원구,도봉1팀,1635. 상계3.4동 주민센터 대여소,177
중랑구,중랑3팀,1435. 능산삼거리,177
성동구,중랑2팀,4362. 행당중학교 후문,178
마포구,상암1팀,4246. 상수역새마을금고,179
성북구,훈련원2팀,1323. 월곡역 입구 육교 밑,179
강남구,학여울1팀,2380. 삼성동베이직하우스앞,179
동작구,영남2팀,2008. 노량진근린공원 대방공원,179
구로구,천왕2팀,1910. 낙원교회 맞은편,179
광진구,중랑1팀,3521. 현대홈타운 뒷길,179
강남구,학여울2팀,3642. LH강남힐스테이트아파트,179
강서구,개화2팀,5072. 김포공항입구 교통섬,180
강남구,학여울1팀,2371. 한국우편사업진흥원,180
용산구,세종로3팀,867.서빙고역 광장(1번출구),181
강남구,학여울1팀,2363. 강남 을지병원 교차로,181
강남구,학여울1팀,2428.롯데리아 개포점앞,182
중구,훈련원1팀,429. 송도병원,182
강남구,학여울1팀,2349. 역삼빌딩 앞(하나은행 옆),182
서대문구,상암2팀,3109.북한산더? 106동 앞,182
송파구,천호2팀,4892. 성내유수지 체육공원,182
송파구,학여울2팀,4490. 송파파인타운 10단지 1005동,182
중랑구,중랑3팀,4815. 중랑데시앙플렉스 앞,183
강북구,도봉4팀,1546. 송천동우체국,183
노원구,도봉1팀,4035. 수락 행복발전소 앞,183
송파구,천호2팀,2649.오금공원사거리2,183
강동구,천호1팀,3686. 고덕 래미안 힐스테이트(101동),183
강북구,도봉4팀,1537. 북한산 우이역,184
강남구,학여울2팀,3640. 일원1동주민센터앞 사거리,184
강남구,학여울1팀,2312. 청담역 13번 출구 앞,184
강동구,천호1팀,3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),184
성동구,중랑2팀,534. 금호사거리,185
